"Territorial Unit","Year","Sex","Age","Severely Limited"
"Portugal","2004","Men","45-49","0.078"
"Portugal","2004","Men","50-54","0.096"
"Portugal","2004","Men","55-59","0.112"
"Portugal","2004","Men","60-64","0.169"
"Portugal","2004","Men","65-69","0.247"
"Portugal","2004","Men","70-74","0.248"
"Portugal","2004","Men","75-79","0.346"
"Portugal","2004","Men","80-84","0.337"
"Portugal","2004","Men","85+","0.457"
"Spain","2004","Women","16-19","0.018"
"Spain","2004","Women","20-24","0.019"
"Spain","2004","Women","25-29","0.038"
"Spain","2004","Women","30-34","0.035"
"Spain","2004","Women","35-39","0.048"
"Spain","2004","Women","40-44","0.068"
"Spain","2004","Women","45-49","0.078"
"Spain","2004","Women","50-54","0.099"
"Spain","2004","Women","55-59","0.14"
"Spain","2004","Women","60-64","0.135"
"Spain","2004","Women","65-69","0.155"
"Spain","2004","Women","70-74","0.197"
"Spain","2004","Women","75-79","0.278"
"Spain","2004","Women","80-84","0.275"
"Spain","2004","Women","85+","0.333"
"Spain","2004","Men","16-19","0.008"
"Spain","2004","Men","20-24","0.024"
"Spain","2004","Men","25-29","0.03"
"Spain","2004","Men","30-34","0.047"
"Spain","2004","Men","35-39","0.056"
"Spain","2004","Men","40-44","0.068"
"Spain","2004","Men","45-49","0.056"
"Spain","2004","Men","50-54","0.098"
"Spain","2004","Men","55-59","0.113"
"Spain","2004","Men","60-64","0.153"
"Spain","2004","Men","65-69","0.136"
"Spain","2004","Men","70-74","0.148"
"Spain","2004","Men","75-79","0.188"
"Spain","2004","Men","80-84","0.25"
"Spain","2004","Men","85+","0.272"
"Sweden","2004","Women","16-19","0.039"
"Sweden","2004","Women","20-24","0.068"
"Sweden","2004","Women","25-29","0.073"
"Sweden","2004","Women","30-34","0.075"
"Sweden","2004","Women","35-39","0.115"
"Sweden","2004","Women","40-44","0.139"
"Sweden","2004","Women","45-49","0.148"
"Sweden","2004","Women","50-54","0.198"
"Sweden","2004","Women","55-59","0.246"
"Sweden","2004","Women","60-64","0.216"
"Sweden","2004","Women","65-69","0.124"
"Sweden","2004","Women","70-74","0.199"
"Sweden","2004","Women","75-79","0.296"
"Sweden","2004","Women","80-84","0.257"
"Sweden","2004","Women","85+","0.378"
"Sweden","2004","Men","16-19","0.05"
"Sweden","2004","Men","20-24","0.047"
"Sweden","2004","Men","25-29","0.035"
"Sweden","2004","Men","30-34","0.069"
"Sweden","2004","Men","35-39","0.08"
"Sweden","2004","Men","40-44","0.072"
"Sweden","2004","Men","45-49","0.128"
"Sweden","2004","Men","50-54","0.138"
"Sweden","2004","Men","55-59","0.165"
"Sweden","2004","Men","60-64","0.184"
"Sweden","2004","Men","65-69","0.115"
"Sweden","2004","Men","70-74","0.203"
"Sweden","2004","Men","75-79","0.287"
"Sweden","2004","Men","80-84","0.267"
"Sweden","2004","Men","85+","0.376"
"Austria","2005","Women","16-19","0"
"Austria","2005","Women","20-24","0.017"
"Austria","2005","Women","25-29","0.015"
"Austria","2005","Women","30-34","0.01"
